,data
382,It is not proven that moderate consumption of candy and chocolate reduces the risk of cardiovascular disease (CVD) specifically.
383,JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.
384,JMJD6 slows the hydroxylation of C-terminal lysine
385,KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.
386,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.
387,Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.
388,Klf2 is important for proper myeloid cell function.
389,Klf4 is important for proper myeloid cell differentiation.
390,Klf4 is not required for proper myeloid cell differentiation.
391,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.
392,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.
393,L3MBTL2 binds to H2AK119Ub marked chromatin to form a PRC1 complex.
394,LDL cholesterol has a causal role in the development of cardiovascular disease.
395,LRBA prevents CTLA - 4 recycling.
396,LRBA promotes CTLA - 4 recycling.
397,LSD1-positive promoters are associated with RNA polymerase II
398,Lack of FGF21 in mice increases life expectancy.
399,Lack of FGF21 in mice leads to atherosclerotic plaque formation.
400,Lack of FGF21 in mice leads to reduced lifespan.
401,Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.
402,Lamins are associated with nuclear membrane structure maintenance.
403,Lamins are found within the inner layer of the mitochondrial membrane of all cells.
404,Lamins are found within the inner layer of the nuclear membrane of all cells.
405,Lamins have no effect on nuclear membrane structure maintenance.
406,Less than 10% of patients exposed to radiation have activated markers of mesenchymal stem cells.
407,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.
408,Lipopolysaccharides have an inflammation independent effect on kidney barrier function.
409,Lmna knock-in models are appropriate for testing therapeutic approaches against Hutchinson-Gilford progeria syndrome (HGPS).
410,Localization of PIN1 in the roots of Arabidopsis requires VPS9a
411,Long - range chromatin interactions regulate transcription.
412,Long chain polyunsaturated fatty acids supplementation has no significant effects on wheezing or asthma at 3 and 6 years.
413,Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.
414,Long chain polyunsaturated fatty acids supplementation reduces wheezing and asthma.
415,Low expression of miR7a does not repress target genes or exert a biological function in ovaries.
416,Low expression of miR7a does not repress target genes or exert a biological function in testis.
417,Low nucleosome occupancy correlates with high methylation levels across species.
418,Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.
419,Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.
420,Lysine histone demethylase inhibitor JIB 04 is inactive against KDM5A.
421,M. stadtmanae does not induce ASC speck formation in BlaER1 monocytes.
422,M. stadtmanae induces ASC speck formation in BlaER1 monocytes.
423,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.
424,MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.
425,MICAL redox enzymes regulate actin dynamics in many cell types.
426,MICAL redox enzymes regulate actin dynamics.
427,MT binding domain drives amyloid structure formation.
428,MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.
429,MafA phosphorylation decreases its ubiquitination.
430,MafA phosphorylation enhances its ubiquitination.
431,MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.
432,MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.
433,Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.
434,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).
435,Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.
436,Malaria has a high vectorial capacity.
437,Many cytokines that are produced by cancer cells also contribute to carcinogenesis.
438,Many transmembrane receptors transmit signals by long-range conformational changes in the association of alpha-helices across the plasma membrane.
439,Marmosets have a brain region homologous to Broca's area.
440,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.
441,MeCP2 influences the synaptic maturation of neurons.
442,Measuring routine outcomes is more beneficial to clinical practice than assessing treatment adherence.
443,Medications to treat obesity are highly effective.
444,Medications to treat obesity do not have side effects.
445,Medications to treat obesity have unwanted side effects.
446,Men are more susceptible to death due to pneumonia when compared to women.
447,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.
448,Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.
449,Mice defective for deoxyribonucleic acid (DNA) polymerase I (polI) fail to reveal increased sensitivity to ionizing radiation (IR).
450,Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) fail to reveal increased sensitivity to ionizing radiation (IR).
451,Mice defective for deoxyribonucleic acid (DNA) polymerase m (polm) reveal increased sensitivity to ionizing radiation (IR).
452,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.
453,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.
454,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.
455,Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.
456,Microcin J25 encourages nucleoside triphosphate (NTP) binding.
457,Microcin J25 inhibits nucleoside triphosphate (NTP) binding.
458,Microglia are an innate immune cell type of the central nervous system.
459,Microglia are an innate immune cell type of the peripheral nervous system.
460,Migraine with aura is associated with ischemic stroke.
461,Misunderstandings between doctors and patients can lead to non-adherence.
462,Mitochondria play a major role in apoptosis.
463,Mitochondria play a major role in energy production.
464,Mitochondria play a trivial role in calcium homeostasis.
465,Moderate consumption of candy and chocolate reduces the risk of cardiovascular disease (CVD).
466,Monoclonal antibody targeting of N-cadherin encourages castration resistance.
467,Monoclonal antibody targeting of N-cadherin encourages metastasis.
468,Monoclonal antibody targeting of N-cadherin inhibits castration resistance.
469,Monoclonal antibody targeting of N-cadherin inhibits growth.
470,Most termination events in Okazaki fragments are dictated by initiation patterns.
471,"Mouse models can be generated using ""artificial spermatids."""
472,Mutant mice lacking SVCT2 have severely reduced ascorbic acid levels in both brain and adrenals.
473,"Mutations in G-Beta protein GNB1 are present in many cancers, resulting in loss of interaction with G-alpha subunits and concomitant activation of AKT pathway."
474,Mutations in RIM1 decrease levels of IME1 RNA.
475,Mutations in RIM1 raise levels of IME1 RNA.
476,Myelin sheaths are lipid-rich cellular structures.
477,Myelin sheaths play a role in action potential propagation.
478,N348I mutations cause resistance to nevirapine.
479,N348I mutations reduce resistance to nevirapine.
480,NAC destabilizes NO to increase the effect of contrast agents on renal functions.
481,NAC inhibits the generation of angiotensin-converting enzyme.
482,NR5A2 does not play a role in development of endometrial tissues.
483,NR5A2 is important in reverse cholesterol transport in humans.
484,Natriuretic peptides increase susceptibility to diabetes.
485,Natriuretic peptides protect against diabetes.
486,Neutrophil extracellular trap (NET) antigens may contain the targeted autoantigens PR3 and MPO.
487,Neutrophils produce IL-1β in response to large particles.
488,Nigerian physicians constitue the largest component of sub-Saharan Africa-trained physicians in the United States.
489,Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.
490,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.
491,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.
492,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.
493,Nonsteroidal antinflammatory drugs show potential anticancer indications.
494,Normal expression of RUNX1 causes tumorsupressing effects.
495,Normal granulomas form in the absence of TNF in Zebrafish.
496,Normal granulomas form in the presence of TNF in Zebrafish.
497,Notch signaling occurs between tumor cells and stromal cells.
498,Nuclear transfer from adult human fibroblasts to human oocytes can give rise to blastocysts containing expandable pluripotent cells.
499,Oat tolerant coeliac patients may have oat specific inflammatory cells in their small bowel mucosa.
500,Obesity decreases life quality.
501,Obesity raises life quality.
502,Occipital activation levels are associated with auditory spatial performance in parietal regions of the brain.
503,Omnivores produce less trimethylamine N-oxide from dietary I-carnitine than vegans.
504,Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegans.
505,Omnivores produce more trimethylamine N-oxide from dietary I-carnitine than vegetarians.
506,One in five surgical randomized controlled trials are discontinued early.
507,One in two surgical randomized controlled trials are discontinued early.
508,Origin gross domestic product(GDP) is negatively related to dengue virus (DENV-1) diffusion in air traffic shipments.
509,Origin gross domestic product(GDP) is positively related to dengue virus (DENV-1) diffusion in air traffic shipments.
510,Osteocytes have an essential role in G-CSF induced HSPC mobilization.
511,"Osteoparthritis (OA) is characterized by degeneration of articular cartilage, joint edge, and subchondral bone hyperplasia."
512,Over half of the gabonese children with Schimmelpenning-Feuerstein-Mims syndrome (SFM) had a plasma lactate of more than 5mmol/L.
513,Overexpressing Cnp1 N-tail variants exacerbates the temperature-sensitive growth defect of scm3-139.
514,Overexpressing Cnp1 N-tail variants rescues the temperature-sensitive growth defect of scm3-139.
515,Oxidative DNA damage activates STING signalling.
516,Oxidative DNA damage inhibits STING signalling.
517,Oxidative phosphorylation is one of the primary glycometabolic pathways in cells.
518,PCSK9 inhibitors decrease plasma Lp(a) levels.
519,PD-1 triggering on monocytes enhances IL-10 production by monocytes.
520,PGE 2 suppresss intestinal tumor growth by altering the expression of tumor suppressing and DNA repair genes.
521,PKG-la does not have a large impact on expression of pain hypersensitivity in PGK-la knockout mice.
522,PKG-la does not have a large impact on expression of spinal long term potentiation in PGK-la knockout mice.
523,PKG-la plays an essential role in expression of spinal long term potentiation in PGK-la knockout mice.
524,PRC1-bound plasmids sediment at a slower rate in unbound plasmids than in sucrose gradients.
525,PTEN is a regulator for the transcriptional activity of SRF
526,Participants who quit smoking reduce lung cancer risk by approximately 50%.
527,Patients in stable partnerships have a slower progression from HIV to AIDS.
528,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.
529,Patients with common epithelial cancers  are more likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.
530,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.
531,Patients with microcytosis and higher erythrocyte count are more vulnerable to severe malarial anaemia when infected with Plasmodium falciparum.
532,Patients with microcytosis and higher erythrocyte count were more resistant to severe malarial anaemia when infected with Plasmodium falciparum.
533,Patients with panic anxiety show decreased CSF levels of hypocretin.
534,Pediatric SCD patients with vaso-occlusive crisis show increased morphine use after breathing 80 ppm iNO for 4 hours.
535,Perigenital skin is not the primary site of HIV acquisition.
536,Peroxynitrite is required for induction of T cell tolerance.
537,Persister cells provide relapse resistance in cancer patients.
538,Persistor cells are one reason for incomplete responses to Tyrosine kinase inhibitor (TKI) therapy in cancer patients.
539,Pharmacist attendance at ward rounds increases adverse events in wards.
540,Pharmacist attendance at ward rounds reduces adverse events in wards.
541,Phase information is useful for predicting donor-recipient matches in organ transplantation.
542,Physical activity does not improve cognitive function in individuals with Alzheimers.
543,Physical activity level has no association with the difference in maximal oxygen consumption between black and white youth.
544,Physical activity level is associated with the difference in maximal oxygen consumption between black and white youth.
545,Physical injury represses transgultaminase activity.
546,Piezo1 channels are sensors for cell migration in epithelial cells.
547,Pioglitazone use is not associated with an increased risk of prostate cancer.
548,Pioglitazone use is significantly associated with an increased risk of pancreatic cancer.
549,Pioglitazone use is significantly associated with an increased risk of prostate cancer.
550,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.
551,Polymeal nutrition increases cardiovascular mortality.
552,Post-transcriptional handling of mitochondrial transcripts occurs in mitochondrial RNA granules.
553,Pre-mRNAs associated with spliceosomal components are less stable than unassociated splicing substrates.
554,Pre-mRNAs associated with spliceosomal components are more stable than unassociated splicing substrates.
555,Prescribed exercise training improves quality of life.
556,PrimPol degrades short DNA replication intermediates on the leading strand during DNA replication.
557,PrimPol generates short DNA replication intermediates on the leading strand during DNA replication.
558,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.
559,Primary cervical cytology screening with HPV detection has higher longitudinal sensitivity to detect severe cervical intraepithelial neoplasia than conventional cytology.
560,Primary pro-inflammatory cytokines suppress secondary pro- and anti-inflammatory mediators.
561,Pro-inflammatory cytokines are up regulated during tumor development.
562,Pro-inflammatory cytokines are up repressed during tumor development.
563,Progerin induces premature aging in stem cells.
564,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.
565,Pseudogene PTENP1 encodes a transcript that regulates PTEN expression.
566,Pseudoknots are not evolutionarily conserved in most eukaryotes.
567,"Pure neural progenitor cell (NPC) populations can only be obtained from cell cultures that undergo passaging, filtration, or other isolation and cell sorting methods."
568,Pyridostatin decreases telomere fragility in BRCA2-deficient cells.
569,Pyridostatin deregulates G2/M progression.
570,Pyridostatin encourages proliferation of homologous recombination - defective cells.
571,Pyridostatin induces checkpoint activation.
572,Pyridostatin induces double-strand breaks accumulation.
573,Pyridostatin prevents double-strand breaks accumulation.
574,Pyridostatin reduces proliferation of homologous recombination - defective cells.
575,Pyridostatin stabilizes the G - quadruplex in the telomeric region.
576,R2D2 stops miRNA production by increasing the selectivity of Dcr2 for long dsRNA.
577,RA activation of DIF2 and NB4 cells induces hallmarks of transcriptionally active promoters.
578,RAD52 is involved in break-induced DNA replication (BIR).
579,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.
580,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.
581,RTEL1 interacts with TRF2 through a C4C4 motif
582,RUNX is not expressed in skin tissue.
583,RUNX1 is downregulated or mutated in TLX1 T-ALL.
584,Radioiodine treatment of non-toxic multinodular goitre increases thyroid volume.
585,Rapamycin delays aging in fruit flies.
586,Rapamycin increases the concentration of triacylglycerols in fruit flies.
587,Rapid phosphotransfer rates are correlated with histidine kinase regulator specificity.
588,Recognition of start codons depends on the translation initiation factor IF3.
589,Reduced levels of lipolysis leads to higher P38 phosphorylation in adipose tissue.
590,Reduced phosphorylation of PP2A increases HDAC4 dephosphorylation by enhancing PP2A-HDAC4 interaction.
591,Reduced phosphorylation of PP2A suppresses HDAC4 dephosphorylation.
592,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with autoimmune diseases such as Type 1 Diabetes.
593,Reducing H3k4me3 methylation induces mouse epiblast stem cells to naive pluripotency efficiently.
594,Reduction of Rpl38 alters the composition of the Hox gene mRNAs translation in mice without lowering overall protein synthesis.
595,Reduction of purity of cytoplasmic membranes isolated from overexpressors is indicated by stronger spots for OmpA in 2D BN-PAGE gels.
596,Reduction of purity of cytoplasmic membranes isolated from overexpressors is indicated by stronger spots for OmpF in 2D BN-PAGE gels.
597,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.
598,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases improves reprogramming efficiency in SCNT experiments.
599,Removal of H3K9me3 improves reprogramming efficiency in human somatic cell nuclear transfer experiments.
600,Replacement of OCT4 and SOX2 genes with GATA3 has the ability to reprogram human cells.
601,Replacement of OCT4 and SOX2 genes with GATA3 is not capable of reprogramming human cells.
602,Replacement of histone H2A with H2A.Z accelerates gene activation in yeasts by destabilizing +1 nucleosomes.
603,Repressing IL-18 has negative effects on atherosclerotic lesion composition and progression.
604,Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC)
605,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in gluconeogenesis.
606,Rhythmic expression of Cry1 translates directly into a circadian regulation of cAMP signaling in hepatic glucose metabolism.
607,Ribosomal protein (RP) expression is controlled in part by stress-activated regulators.
608,Ribosome-inactivating protein-2 (RIP-2) interacts with the p75 NTR death domain
609,Ribosomopathies have a high degree of cell and tissue specific pathology.
610,Risedronate increases risk of vertebral and non-vertebral fractures.
611,Rising temperatures caused by global warming increases risk of dengue fever transmission.
612,Rising temperatures caused by global warming lowers the risk of dengue fever transmission.
613,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.
614,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.
615,Rotator cuff exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.
616,Roughly 55% of women with chronic pelvic pain have no underlying pathology.
617,Satellite cell dysfunction is a key factor in sarcopenia development.
618,ScPif1p has higher binding ability to G-rich ssDNA than to non-G-rich ssDNA.
619,ScPif1p has reduced binding ability to G-rich ssDNA compared to non-G-rich ssDNA.
620,Scapular stabilizer exercises are more effective than general exercise therapy in reducing pain and improving function of the shoulder.
621,Self-advocacy training is effective at decreasing homelessness.
622,Sepsis related mortality has remained stable between 2009-2014.
623,Sepsis related mortality has risen from 2009 to 2014.
624,Sequence conservation in gene regulatory regions between species is a high-accuracy predictor of conserved functionality.
625,Sequence conservation in gene regulatory regions between species is a poor predictor of conserved functionality.
626,Side effects associated with antidepressants do not represent a mortality risk to postmenopausal women.
627,Side effects associated with antidepressants increases risk of stroke.
628,Side effects associated with antidepressants lower risk of myocardial infarction.
629,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.
630,Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.
631,Sn is present on mature DCs during inflammation in vivo.
632,Specialized functional cell types can be derived from human pluripotent stem cells.
633,Splenomegaly is observed in knockin mouse lacking the SHP-2 MAPK pathway.
634,Stacking is more stable when a purine is present in the +5 position (C1698).
635,Stiff substrates encourage mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.
636,Stiff substrates inhibit mesodermal differentiation by degrading beta-catenin in an integrin-dependent manner.
637,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.
638,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.
639,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.
640,Suboptimal nutrition is a leading cause of premature death
641,Sudden death can occur in patients with complex ventricular arrhythmias.
642,Sudden death can occur in patients with orthostatic hypertension without cardiac conduction abnormalities.
643,"Surfactin producing cells and exopolymer producing cells cooperate to generate ""Van Gogh"" bundles that have sliding abilities on specialized media."
644,Surgical treatment is not superior to non-surgical in treating adults with displaced fractures of the proximal humerus.
645,Sweet taste receptors on the tongue are deactivated by between 1 and 10 mM glucose.
646,Sympathetic nerve activity is elevated throughout normal pregnancy.
647,Sympathetic nerve activity is reduced throughout normal pregnancy.
648,Systemic immunosuppressive (IS) therapy does not enhance the chance of cancer mortality in patients with inflammatory eye disease (IED)
649,Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED)
650,Systemic lupus erythematosus is a risk factor for cardiovascular disease.
651,T cell receptor /CD3 microdomains are required to induce the immunologic synapse.
652,TMEM27 is a marker for beta cells.
653,TNFAIP3 is a glioblastoma tumor enhancer.
654,TNFAIP3 is a glioblastoma tumor suppressor.
655,TNFAIP3 is a tumor enhancer in glioblastoma.
656,TRAP+ osteoclasts regulate mature osteoblast maintenance.
657,Taking 400mg of α-tocopheryl acetate does not prevent prostate cancer.
658,Taking 400mg of α-tocopheryl acetate in combination with vitamin C reduces the risk of prostate cancer.
659,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.
660,Taxation of sugar-sweetened beverages reduced the incidence rate of type II diabetes in India.
661,Ten percent (10%) of kidney cancers in the UK are attributable to excess weight.
662,The C-type lectin receptor (CLEC-2) rearranges the actin cytoskeleton in dendritic cells to promote efficient motility along stromal surfaces.
663,The DESMOND program caused substantial weight loss in most participants.
664,The DESMOND program demonstrates no significant impact on biochemical outcomes.
665,The DESMOND program demonstrates no significant impact on lifestyles outcomes.
666,The DESMOND program demonstrates no significant impact on weight loss.
667,The DEXI promoter region is bound by multiple transcription factors in a murine haematopoietic progenitor cell line.
668,The DdrB protein from Deinococcus radiodurans functions as a pentamer.
669,The G34R/V mutation creates a hypomethylated phenotype at the H3K36 histone.
670,The G34R/V mutation does not create a hypomethylated phenotype at the H3K36 histone.
671,The H2A-H2B eviction defect is compensated for by other histone chaperone(s).
672,The HSV-2 infection is typically asymptomatic.
673,The M2-phenotype in brown adipose tissue macrophages increases brown adipose tissue thermogenic activity.
674,The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.
675,The NF-κB essential modulator gene prevents intestinal inflammation by inhibiting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.
676,The PDPN gene deactivates the C-type lectin receptor (CLEC-2).
677,The PPR MDA5 has twenty N-terminal CARD domains.
678,The PRDM1 gene is a key determinant of primordial germ cells.
679,"The PRDM1 gene, when combined with the PRDM14 gene, plays an important role during primordial germ cell specification."
680,The PRR MDA5 has a C-terminal domain.
681,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).
682,The Snf1 complex regulates carbon and energy metabolism in baker's yeast (Saccharomyces cerevisiae).
683,The TRaF1/C5 rs10818488 allele polymorphism regulates the neighboring C5 gene.
684,The US health care system can save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.
685,The World Health Organization's (WHO) data collection process is biased downward by unequal selection of larger outbreaks.
686,The ability of activator E2Fs in preventing cell death is limited to terminally differentiated cells.
687,The amount of publicly available DNA data doubles every 10 months.
688,"The appearance of brown-like or beige cells primarily occurs in visceral fat, not subcutaneous fat."
689,The artifactual C-terminal helix swapping in the StART domain is observed in the Ups1-Mdm35 heterodimer of the StARkin superfamily.
690,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.
691,The composition of myosin-II isoform switches from the A isoform to the B isoform during hematopoietic differentiation.
692,The cytokine receptor which regulates chemotaxis and formation of lymph nodes is involved in production of myeloperoxidase in the left atrium.
693,The deamination of cytidine to uridine on the minus strand of viral DNA can inactivate the viral genome by inducing G-to-A mutations.
694,The density of cytokine receptor bearing cells affects the distance over which cytokines act.
695,The density of cytokine receptor bearing cells has no effect on the distance over which cytokines act.
696,The deregulated and prolonged activation of monocytes has deleterious effects in chronic infectious conditions.
697,The deregulated and prolonged activation of monocytes improves inflammatory disease outcomes.
698,The effect of Lipopolysaccharides on kidney barrier function is dependent on inflammation levels.
699,The first MBT repeat of the four malignant brain tumor (4MBT) domain of Drosophila's Sfmbt and of the orthologous mammalian L3MBTL2 is required for the interaction with the spacer region of Drosophila's Pleiohomeotic (Pho) or its human ortholog YY1.
700,"The gene daf-16, which encodes forkhead Box O (FOXO), is required for all phenotypes associated with reduced insulin/insulin-like growth factor (Igf) signaling."
701,The generation of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.
702,The innate immune response struggles to remove small numbers of parasites.
703,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.
704,The mean suicide rate in women is higher after miscarriage than live birth.
705,The mean suicide rate in women is lower after miscarriage than live birth.
706,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.
707,The minor G allele of FOXO3 downregulates pro-inflammatory cytokines.
708,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.
709,The minor G allele of FOXO3 up-regulates IL-10.
710,The morphology change from large white adipocytes to small brown adipocytes is a sign of decreased energy expenditure potential in white adipose tissue.
711,The morphology change from large white adipocytes to small brown adipocytes is a sign of increased energy expenditure potential in white adipose tissue.
712,The most prevalent adverse events to Semaglutide are cardiovascular.
713,The most prevalent adverse events to Semaglutide are gastrointestinal.
714,The myocardial cell lineage originally develops from cardiac progenitors of exclusively endodermal origin.
715,The number of unfertilized oocytes in mated hermaphrodites increases with age.
716,The one-child policy has created a hospitable environment for female infants.
717,The origin of the CRF01_1b2k protein occurred between 1923 and 1956.
718,The peak incidence of fractures occurs during pubertal growth spurt in early adolescents.
719,The peak incidence of fractures occurs in toddlers.
720,The predominant localization of Linc00173 is in mononuclear macrophage nuclei.
721,The proliferative capacity of neural progenitors differs across species.
722,The proliferative capacity of progenitors is regulated cell-autonomously.
723,The proportion of people with visual difficulty is two times higher in low-income countries than in high-income countries.
724,The recruitment of Wdr5 to its target loci depends on Kat8.
725,The relationship between a breast cancer patient's capacity to metabolize tamoxifen and treatment outcome is independent of the patient's genetic make-up.
726,The removal of reactive oxygen species by activated oncogenes contributes to the increased genomic instability of leukaemia cells.
727,The repeat-variable diresidue (RVD) in the loop of Transcription-Activator Like (TAL) effectors specifies the nucleotides-amino acid contact at the target promoter element.
728,The risk of breast cancer among parous women decreases with placental weight of pregnancies.
729,The risk of cancer rises with level of alcohol consumption.
730,The risk of female prisoners harming themselves is ten times that of male prisoners.
731,The tip of the inner tube of the toxic type VI secretion system (T6SS) antibacterial effector in Escherichia coli (E. coli) is decorated with VgrG and PAAR proteins.
732,The tissue surrounding the granuloma in an immune cell induces an anti-inflammatory immune response.
733,Therapeutics receiving accelerated approval encounter a lower frequency of post-marketing safety events
734,There is a positive correlation between hip fractures and statin use.
735,There is a relation between Erythromycin use and hypertrophic pyloric stenosis.
736,There is no association between HNF4A mutations and diabetes risks.
737,There is no increased risk of hypospadias with clomiphene.
738,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.
739,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.
740,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.
741,Thiopurine active metabolites can be catabolized through dephosphorylation of thioguanine nucleotides.
742,Tirasemtiv has no effect on cardiac muscle.
743,Tirasemtiv targets cardiac muscle.
744,Tirasemtiv targets fast-twitch muscle.
745,Toll-like receptor (TLR) signaling is involved in the pathogenesis of human MDS.
746,Tonic signaling from the scFv induces constitutive stimulation.
747,Tonic signaling from the scFv is amplified by MyD88/CD40.
748,Tonic signaling from the scFv prevents constitutive stimulation.
749,Traditional reviews are biased in their interpretations.
750,"Trans-acting factors, such as lncRNAs, influence mRNA translation."
751,Transcription factor EB induces transcription of pro-inflammatory cytokines in macrophages infected with Staphylococcus aureus.
752,Transcription rates in S. cerevisiae range between 0.7 and 2 kb/min.
753,Transcription rates in S. cerevisiae range between 7 and 12 kb/min.
754,Transplanted human glial progenitor cells can mature in their host animal.
755,Treatment with a protein named FN impairs regenerative abilities of aged muscles.
756,Treatment with a protein named FN restores regenerative abilities of aged muscles.
757,Treatment with the EC uptake inhibitor AM404 resulted in a dose-dependent decrease in the expression of immobility.
758,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.
759,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.
760,Tumor development occurs in conjunction with suppression of pro-inflammatory cytokines.
761,Tumor development occurs in conjunction with upregulation of pro-inflammatory cytokines.
762,Two variants of chromosome 6q21 are associated with radiation therapy-induced second malignancies in pediatric Hodgkin lymphoma patients.
763,Type 1 Diabetes is associated with subtle perturbations in T reg development.
764,Ultrasound guidance significantly reduces the number of needle insertion attempts necessary for a given procedure.
765,Ultrasound guidance significantly reduces the number of traumatic procedures when attempting needle insertion.
766,Understanding epigenetic regulation of replication is essential for the reational design of episomally replicating vectors.
767,Up-regulation of the p53 pathway and related molecular events speeds cancer progression.
768,"Upon developing tyrosine-kinase inhibitor resistance, new mutations in epidermal growth factor receptors emerge and cause treatment failure."
769,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly diminish the early production of inflammatory chemokines in the lung."
770,"Upon viral challenge, influenza-specific memory CD4+ T cells greatly enhance the early production of inflammatory chemokines in the lung."
771,Upregulation of PD1 causes the downmodulation of Satb1.
772,Upregulation of PD1 causes the upregulation of Satb1.
773,Upregulation of dynein in Drosophila neurons increases the number of microtubule plus-ends growing toward the cell body of each neuron.
774,Urbanization is an important risk factor related to the transmission of dengue fever.
